time,cams,denms,alerted,suppressed,rsu_relays,avg_ms,risk,min_gap
0.0,0,0,0,0,0,0.0,0,0.0
0.3462066650390625,0,0,0,0,0,0.0,0,162.75247334970436
0.8454766273498535,14,0,0,0,0,0.0,0,164.06793487386904
1.3979315757751465,14,0,0,0,0,0.0,0,165.52352660449196
1.8730995655059814,28,0,0,0,0,0.0,0,166.77548497409362
2.38606595993042,28,0,0,0,0,0.0,0,168.12703344685133
2.843614339828491,42,0,0,0,0,0.0,0,169.33256819685766
3.349407434463501,42,0,0,0,0,0.0,0,170.6652166744493
3.859114408493042,56,0,0,0,0,0.0,0,172.00817732409678
4.370238304138184,56,0,0,0,0,0.0,0,173.35487123632493
4.880308628082275,70,0,0,0,0,0.0,0,174.69878922943053
5.391608476638794,70,0,0,0,0,0.0,0,176.04594673711335
5.965969562530518,84,0,0,0,0,0.0,0,177.55925610179293
6.4816718101501465,84,0,0,0,0,0.0,0,178.91801291850425
7.011277914047241,98,0,0,0,0,0.0,0,180.31340319877472
7.471351861953735,98,0,0,0,0,0.0,0,181.52559223963044
7.948560476303101,112,0,0,0,0,0.0,0,182.78292718578086
8.433584690093994,112,0,0,0,0,0.0,0,184.06085443895927
8.938847780227661,126,0,0,0,0,0.0,0,178.81486325349488
9.476274490356445,126,0,0,0,0,0.0,0,165.38749381758726
9.988706588745117,140,0,0,0,0,0.0,0,151.5342571156632
10.490090131759644,140,0,0,0,0,0.0,0,137.12142167627894
11.00809121131897,154,0,0,0,0,0.0,0,122.23089640649437
11.499878168106079,154,0,0,0,0,0.0,0,108.09392566191832
11.9804048538208,168,0,0,0,0,0.0,30,94.28064410943966
12.476614952087402,168,0,0,0,0,0.0,30,80.01652517430739
12.942531824111938,182,0,0,0,0,0.0,30,66.6232191943227
13.46156358718872,182,0,0,0,0,0.0,30,51.70306576435155
13.94200587272644,196,0,0,0,0,0.0,30,37.892210390153195
14.466997146606445,196,0,0,0,0,0.0,30,22.800744100590236
14.964603424072266,210,1,4,1,4,8.88450817899097,30,17.181720007565218
15.58148717880249,224,1,4,1,4,8.88450817899097,30,8.693619428045622
16.10061264038086,224,1,4,1,4,8.88450817899097,30,0.4726731373352777
16.620702266693115,238,1,4,1,4,8.88450817899097,30,8.845514683881902
17.11402416229248,238,1,4,1,4,8.88450817899097,30,18.657584323941137
17.709792137145996,252,1,4,1,4,8.88450817899097,30,31.92704303859864
18.23613452911377,252,1,4,1,4,8.88450817899097,30,44.758340484362634
18.721331119537354,266,1,4,1,4,8.88450817899097,30,57.52823892037486
19.262761116027832,266,1,4,1,4,8.88450817899097,30,72.95073122133363
19.778270959854126,280,1,4,1,4,8.88450817899097,30,87.76964311018219
20.26127028465271,280,1,4,1,4,8.88450817899097,0,96.54233523646235
20.763508558273315,294,1,4,1,4,8.88450817899097,0,88.59344080463507
21.288813829421997,294,1,4,1,4,8.88450817899097,0,80.27946641407016
21.812540531158447,308,1,4,1,4,8.88450817899097,0,71.9904759450219
22.306479692459106,308,1,4,1,4,8.88450817899097,30,64.17293105617864
22.798340320587158,322,1,4,1,4,8.88450817899097,60,56.38828298470253
23.34436798095703,322,1,4,1,4,8.88450817899097,60,47.74633660763993
23.91368794441223,336,1,4,1,4,8.88450817899097,60,38.73574437456773
24.42887234687805,336,1,4,1,4,8.88450817899097,60,30.58195235349558
24.97533917427063,350,1,4,1,4,8.88450817899097,60,18.476257693489515
25.508073091506958,350,1,4,1,4,8.88450817899097,60,2.2381973655992624
26.03319811820984,364,1,4,1,4,8.88450817899097,60,5.190386516342187
26.52046036720276,364,2,2,2,5,10.608897521247302,30,6.0033624433717705
27.260828733444214,378,2,2,2,5,10.608897521247302,60,5.046053677413511
27.76298475265503,392,2,2,2,5,10.608897521247302,60,3.388114817337737
28.369246244430542,392,2,2,2,5,10.608897521247302,60,0.08375491634888022
28.92641043663025,406,2,2,2,5,10.608897521247302,30,4.516187536755751
29.449967622756958,406,2,2,2,5,10.608897521247302,30,9.7777133832642
29.950650215148926,420,2,2,2,5,10.608897521247302,60,15.812091577256979
30.457833766937256,420,2,2,2,5,10.608897521247302,60,22.95376192299318
30.954236268997192,434,2,2,2,5,10.608897521247302,60,19.839770706388663
31.514228582382202,434,2,2,2,5,10.608897521247302,30,15.510763527126983
32.039538860321045,448,2,2,2,5,10.608897521247302,30,11.449864993018764
32.529890298843384,448,2,2,2,5,10.608897521247302,60,7.659214930532471
33.01897931098938,462,2,2,2,5,10.608897521247302,60,3.878324024941776
33.527846574783325,462,3,4,3,9,12.609528313064077,30,9.839179058673835
34.26953458786011,476,3,4,3,9,12.609528313064077,30,18.527288985897485
34.842182636260986,490,3,4,3,9,12.609528313064077,30,25.235270113269507
35.398157358169556,490,3,4,3,9,12.609528313064077,30,26.452375351045617
35.9247522354126,504,3,4,3,9,12.609528313064077,30,15.275134734973278
36.477755069732666,504,3,4,3,9,12.609528313064077,30,3.5373719733491953
37.025418519973755,518,3,4,3,9,12.609528313064077,30,8.087059680868663
37.58574199676514,532,3,4,3,9,12.609528313064077,30,19.980206753852713
38.09205508232117,532,3,4,3,9,12.609528313064077,60,30.72695616006439
38.651973724365234,546,3,4,3,9,12.609528313064077,60,42.61151041231278
39.17257761955261,546,3,4,3,9,12.609528313064077,60,46.24081773063381
39.766993045806885,560,3,4,3,9,12.609528313064077,60,20.940139018637637
40.31464433670044,560,3,4,3,9,12.609528313064077,90,2.3700725692769993
40.85396862030029,574,3,4,3,9,12.609528313064077,60,25.32585369178787
41.393325090408325,574,3,4,3,9,12.609528313064077,60,48.2830047997777
41.89173746109009,588,3,4,3,9,12.609528313064077,60,38.316119767071996
42.41423964500427,588,3,4,3,9,12.609528313064077,60,22.196928000756998
42.968119382858276,602,3,4,3,9,12.609528313064077,30,5.109738731876405
43.53819179534912,602,3,4,3,9,12.609528313064077,30,12.476994530725733
44.04075479507446,616,3,4,3,9,12.609528313064077,30,27.981062487995132
44.59846115112305,630,3,4,3,9,12.609528313064077,30,45.18630292372973
45.11327004432678,630,3,4,3,9,12.609528313064077,30,61.068156680571064
45.633220195770264,644,3,4,3,9,12.609528313064077,30,72.34170326754611
46.14750552177429,644,3,4,3,9,12.609528313064077,30,69.56530144873523
46.65588855743408,658,3,4,3,9,12.609528313064077,0,66.82076351718365
47.17426156997681,658,3,4,3,9,12.609528313064077,0,64.02229406438266
47.67088437080383,672,3,4,3,9,12.609528313064077,0,61.34124450344632
48.159934759140015,672,3,4,3,9,12.609528313064077,0,58.70107508967601
48.667287826538086,686,3,4,3,9,12.609528313064077,0,55.96209750684636
49.22812557220459,686,3,4,3,9,12.609528313064077,0,52.93437950986413
49.7556939125061,700,3,4,3,9,12.609528313064077,0,50.08626849930681
50.267860651016235,700,3,4,3,9,12.609528313064077,0,47.32130400890878
50.755871057510376,714,3,4,3,9,12.609528313064077,0,44.68674900280632
51.27179932594299,714,3,4,3,9,12.609528313064077,0,41.901477655513304
51.78982758522034,728,3,4,3,9,12.609528313064077,0,39.10486937499286
52.72777819633484,742,3,4,3,9,12.609528313064077,0,34.04128375242226
53.293402433395386,742,3,4,3,9,12.609528313064077,0,30.987725579296125
53.838425159454346,756,3,4,3,9,12.609528313064077,0,28.045385964668526
54.35053038597107,756,3,4,3,9,12.609528313064077,0,25.280753550652435
54.84372067451477,770,3,4,3,9,12.609528313064077,0,22.61823462410257
55.38257575035095,770,3,4,3,9,12.609528313064077,30,19.70919145880066
55.89973425865173,784,3,4,3,9,12.609528313064077,30,16.917278583867642
56.412682056427,784,3,4,3,9,12.609528313064077,30,14.148097495688717
56.9135320186615,798,3,4,3,9,12.609528313064077,30,11.444227336872814
57.459962368011475,798,3,4,3,9,12.609528313064077,30,8.494288578991814
57.981550455093384,812,3,4,3,9,12.609528313064077,30,5.678462343201204
58.48853302001953,812,3,4,3,9,12.609528313064077,30,2.941484941370163
59.0016303062439,826,4,1,4,10,11.637296148213752,0,10.148388506940819
59.70725870132446,840,4,1,4,10,11.637296148213752,0,20.059561169526887
60.2176308631897,840,4,1,4,10,11.637296148213752,0,27.228187961885624
60.70803737640381,854,4,1,4,10,11.637296148213752,0,34.11637962368377
61.19277906417847,854,4,1,4,10,11.637296148213752,0,40.92500381990749
61.73355460166931,868,4,1,4,10,11.637296148213752,0,48.520672816706565
62.256725549697876,868,4,1,4,10,11.637296148213752,0,55.86906983999802
62.77322030067444,882,4,1,4,10,11.637296148213752,0,63.12369379211873
63.27751708030701,882,4,1,4,10,11.637296148213752,0,70.2069864869286
63.78422284126282,896,4,1,4,10,11.637296148213752,0,77.32411544740194
64.30429601669312,896,4,1,4,10,11.637296148213752,0,84.62900152455654
64.80062413215637,910,4,1,4,10,11.637296148213752,0,91.6003673085122
65.29170441627502,910,4,1,4,10,11.637296148213752,0,98.49802267644282
65.77595973014832,924,4,1,4,10,11.637296148213752,0,105.29981532259194
66.27047681808472,924,4,1,4,10,11.637296148213752,0,112.24574362891713
66.74329662322998,938,4,1,4,10,11.637296148213752,0,118.88691447713677
67.23487615585327,938,4,1,4,10,11.637296148213752,0,121.41871210332829
67.70655155181885,952,4,1,4,10,11.637296148213752,30,88.35509328042674
68.28027105331421,952,4,1,4,10,11.637296148213752,30,73.51969307938327
68.77935791015625,966,4,1,4,10,11.637296148213752,30,60.61416479067401
69.35061550140381,966,4,1,4,10,11.637296148213752,30,45.84242535711361
69.85199332237244,980,4,1,4,10,11.637296148213752,30,32.87765667379412
70.37481164932251,980,4,1,4,10,11.637296148213752,30,19.358473357681873
70.89661574363708,994,4,1,4,10,11.637296148213752,30,5.8655163542631215
71.43051624298096,994,4,1,4,10,11.637296148213752,30,7.940232891942912
71.91589522361755,1008,4,1,4,10,11.637296148213752,30,20.491299063042305
72.42072486877441,1008,4,1,4,10,11.637296148213752,30,33.54532598688277
72.9567461013794,1022,4,1,4,10,11.637296148213752,30,47.40591375011013
73.48183608055115,1022,4,1,4,10,11.637296148213752,60,45.93452908995005
74.0230929851532,1036,4,1,4,10,11.637296148213752,60,39.39433422128968
74.53354024887085,1036,4,1,4,10,11.637296148213752,60,33.22642292722048
75.03615117073059,1050,4,1,4,10,11.637296148213752,30,27.15320086920974
75.60175251960754,1064,4,1,4,10,11.637296148213752,30,20.31884363851168
76.0916039943695,1064,4,1,4,10,11.637296148213752,30,14.399798404346257
76.63353681564331,1078,4,1,4,10,11.637296148213752,30,7.851436200155149
77.14214444160461,1078,4,1,4,10,11.637296148213752,30,1.705753887022638
77.68558859825134,1092,4,1,4,10,11.637296148213752,30,4.860870306561537
78.20475697517395,1092,4,1,4,10,11.637296148213752,30,11.134161835685518
78.71205568313599,1106,4,1,4,10,11.637296148213752,30,17.264028038742254
79.27677726745605,1106,4,1,4,10,11.637296148213752,60,24.08775476922574
79.85863709449768,1120,4,1,4,10,11.637296148213752,60,31.118568829501328
80.40679836273193,1120,4,1,4,10,11.637296148213752,60,37.74219151813895
80.94895434379578,1134,4,1,4,10,11.637296148213752,60,44.29325023945739
81.50482678413391,1134,4,1,4,10,11.637296148213752,30,36.50052684287948
82.00966358184814,1148,4,1,4,10,11.637296148213752,30,23.6019106083113
82.4949746131897,1148,4,1,4,10,11.637296148213752,60,11.20217909899975
83.02267098426819,1162,4,1,4,10,11.637296148213752,60,2.280500867543651
83.58310174942017,1176,4,1,4,10,11.637296148213752,60,16.599546940394703
84.10769748687744,1176,4,1,4,10,11.637296148213752,60,30.003005496484093
84.63804531097412,1190,4,1,4,10,11.637296148213752,60,35.3778484760561
85.13320469856262,1190,4,1,4,10,11.637296148213752,90,23.87850889687718
85.67557311058044,1204,4,1,4,10,11.637296148213752,100,11.282810010529715
86.24473929405212,1204,4,1,4,10,11.637296148213752,100,1.9352272210803676
86.83198499679565,1218,4,1,4,10,11.637296148213752,100,15.573134370835305
87.40399932861328,1218,4,1,4,10,11.637296148213752,90,25.067643728513758
87.98707580566406,1232,4,1,4,10,11.637296148213752,90,14.760147226405934
88.5237557888031,1232,4,1,4,10,11.637296148213752,90,0.1476300830117907
